Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Clodsire,94.9,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Sludge Bomb,Earthquake,6,8,3,50000
Forretress,93.9,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Rock Tomb,Earthquake,17,22,5,75000
Corviknight,93.6,823,flying,steel,107.6,128.1,151,2082389,23,1498,Sand Attack,Sky Attack,Iron Head,14,13,1,10000
Dusclops,93.4,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Golisopod,93.3,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Corsola (Galarian),93.1,222,ghost,none,99.6,162.1,139,2243153,46.5,1494,Astonish,Night Shade,Power Gem,5,5,3,50000
Samurott,92.9,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Gligar (Shadow),92.8,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Jumpluff (Shadow),92.7,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Acrobatics,5,7,3,50000
Gligar,92.3,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Jellicent,92.3,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
Mandibuzz,92.2,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Diggersby,92.1,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Lapras,92.1,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Metang (Shadow),92.1,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Fury Cutter,Psyshock,Gyro Ball,10,15,5,75000
Clodsire,91.9,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Steelix,91.8,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Dusknoir (Shadow),91.5,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Carbink,91.4,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Power Gem,Moonblast,10,12,5,75000
Stunfisk,91.4,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Samurott (Shadow),91.3,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Feraligatr,91,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Forretress (Shadow),91,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Rock Tomb,Earthquake,17,22,5,75000
Araquanid,90.9,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Water Pulse,Bubble Beam,19,14,3,50000
Bastiodon,90.9,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Metang,90.9,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Fury Cutter,Psyshock,Return,10,18,5,75000
Dedenne,90.7,702,electric,fairy,124.2,108.7,133,1795844,30.5,1497,Thunder Shock,Parabolic Charge,Play Rough,5,7,3,50000
Tinkaton,90.7,959,fairy,steel,107.3,136.3,143,2090037,25.5,1497,Fairy Wind,Play Rough,Bulldoze,7,5,3,75000
Togedemaru,90.7,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Weezing (Galarian) (Shadow),90.7,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Dusknoir,90.6,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Feraligatr (Shadow),90.4,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Gastrodon,90.4,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Steelix (Shadow),90.4,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Toxapex,90.4,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Annihilape (Shadow),90.2,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Rage Fist,Ice Punch,6,7,3,50000
Azumarill,90.2,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Sableye (Shadow),90.2,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Dusclops (Shadow),89.8,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
